,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xix,Семантическая когорта
567,длинно,наречие,0,0,1,0,1,0,0,0,3.23809992967484,размер
571,длинноватый,прилагательное,0,0,1,0,1,0,0,0,0.35831433648041255,размер
573,длинный,прилагательное,0,0,1,0,1,0,0,0,200.35079769795513,размер
574,длинный-длинный,прилагательное,0,0,1,0,1,0,0,0,0.6502741662051933,размер
575,длинный-предлинный,прилагательное,0,0,1,0,1,0,0,0,0.5706487580984348,размер
589,доноситься,глагол,1,0,0,0,1,0,1,0,14.916493118666065,звучать
604,духан,существительное,1,0,0,0,0,1,0,0,0.4379397445871709,вонь
609,духовитый,прилагательное,1,0,0,0,0,1,0,0,0.10616721080901113,запах
610,духота,существительное,1,1,0,0,0,0,0,0,7.219370335012757,атмосфера
611,душисто,наречие,1,0,0,0,0,1,0,0,0.10616721080901113,запах
613,душистый,прилагательное,1,0,0,0,0,1,0,0,11.2139116417018,запах
614,душок,существительное,1,0,0,0,0,1,0,0,0.7298995743119516,вонь
615,дымчато-серый,прилагательное,1,0,1,0,0,0,0,0,0.06635450675563195,цвет
617,дымчатый,прилагательное,1,0,1,0,0,0,0,0,1.9773643013178326,цвет
618,дюжий,прилагательное,1,0,1,0,0,0,0,0,5.507424060717453,размер 
619,едкий,прилагательное,0,1,0,1,0,1,1,0,11.850914906555866,вонь
620,едко,наречие,0,1,0,1,0,1,1,0,1.3669028391660183,вонь
621,едкость,существительное,0,1,0,1,0,1,1,0,0.9289630945788474,вонь
624,жар,существительное,1,1,0,0,0,0,1,0,44.15228879519751,атмосфера
625,жара,существительное,1,1,0,0,0,0,1,0,31.757266933245454,атмосфера
626,жареный,прилагательное,0,1,0,1,0,1,0,0,10.457470264687597,вкусный
628,жарища,существительное,1,1,0,0,0,0,0,0,0.18579261891576948,атмосфера
629,жаркий,прилагательное,1,1,0,0,0,0,1,0,21.12727495099322,атмосфера
630,жарко,наречие,1,1,0,0,0,0,0,0,19.428599578049038,атмосфера
634,жарынь,существительное,1,1,0,0,0,0,0,0,0.14597991486239031,атмосфера
636,жгучесть,существительное,0,1,0,1,0,1,0,горячий,0.30523073107590704,осязание
637,жгучий,прилагательное,0,1,0,1,0,1,0,горячий,13.098379633561748,осязание
645,желтовато-красный,прилагательное,1,0,1,0,0,0,0,0,0.11943811216013753,цвет
652,жирненький,прилагательное,0,1,1,0,0,0,0,0,0.1327090135112639,вкусный
673,загрубелый,прилагательное,1,1,0,0,0,0,0,0,0.7298995743119516,осязание
678,закиснуть,глагол,1,0,0,1,0,0,1,0,0.25214712567140146,вкусный
680,закругление,существительное,1,0,1,0,0,0,0,0,0.25214712567140146,форма
682,закруглить,глагол,1,0,1,0,0,0,0,0,1.6057790634862934,форма
