,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xviii,xix,pre1950,post1950,Семантическая когорта
271,влага,существительное,1,1,0,0,0,0,0,0,9.278915910068747,8.466835062018639,13.242868527307797,17.34347536784275,осязание
272,влажность,существительное,1,1,0,0,0,0,0,0,17.7438918280262,2.6939929742786575,2.32899028516533,7.692980063573625,атмосфера
273,влажный,прилагательное,1,1,0,0,0,0,0,0,11.557947887980369,11.386433359266444,24.898263855758508,25.305133993864775,атмосфера
278,воблый,прилагательное,0,1,1,0,0,0,0,0,0.0,0.0,0.10443902624059778,0.0,форма
279,возглас,существительное,1,0,0,0,1,0,0,0,0.6511519936890349,17.968800429425134,22.141073563006728,9.409232921662396,голос
282,вокал,существительное,1,0,0,0,1,0,0,0,0.0,0.0,0.04177561049623911,1.8533337572971385,голос
283,волглый,прилагательное,1,1,0,0,0,0,0,0,0.0,0.03981270405337917,0.281985370849614,0.8224853952502094,атмосфера
284,вонизм,существительное,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.016449707905004187,вонь
286,вонища,существительное,1,0,0,0,0,1,0,0,0.0,0.07962540810675835,0.2715414682255542,0.31254445019507954,вонь
288,вонь,существительное,1,0,0,0,0,1,0,0,3.2557599684451746,4.843878993161133,5.503936682879503,6.075425452914879,вонь
289,вонький,прилагательное,1,0,0,0,0,1,0,0,0.0,0.013270901351126392,0.15665853936089666,0.1480473711450377,вонь
291,вонючий,прилагательное,1,0,0,0,0,1,0,0,2.930183971600657,6.423116253945174,8.261126975631283,9.864341507034178,вонь
292,вонючка,существительное,1,0,0,0,0,1,0,0,0.0,0.06635450675563195,0.10443902624059778,1.4640240035453727,вонь
294,воняльный,прилагательное,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.005483235968334729,вонь
306,востренький,прилагательное,1,1,0,0,0,0,0,0,0.0,0.41139794188491813,0.32376098134585307,0.12063119130336405,осязание
307,вострый,прилагательное,1,1,0,0,0,0,0,0,2.7673959731783984,5.507424060717453,3.185390300338232,1.7272193300254395,осязание
313,вскрик,существительное,1,0,0,0,1,0,0,0,0.0,0.35831433648041255,3.007843955729216,2.6593694446423437,голос
314,вскрикивать,глагол,1,0,0,0,1,0,0,0,0.4883639952667762,6.807972393127839,8.42822941761624,4.265957583364419,голос
316,вскрикнуть,глагол,1,0,0,0,1,0,0,0,0.9767279905335524,43.66126544520583,22.652824791585655,10.950022228764453,голос
319,всплеск,существительное,1,0,0,0,1,0,0,0,0.0,1.9640933999667058,4.250668367992329,9.513414405060756,звучать
321,втора,существительное,1,0,0,0,1,0,0,0,6.34873193846809,2.8797855931944274,1.1906048991428146,1.1788957331919667,музыка
333,выкрик,существительное,1,0,0,0,1,0,0,0,0.0,1.1014848121434906,7.707600136556116,4.710099696799532,голос
334,выкрикивать,глагол,1,0,0,0,1,0,0,0,0.16278799842225872,5.4012568499084415,12.511795343623614,9.129587887277323,голос
337,выкрикнуть,глагол,1,0,0,0,1,0,0,0,0.0,1.526153655379535,7.853814773292951,8.849942852892253,голос
343,вымокнуть,глагол,1,1,0,0,0,0,0,0,0.16278799842225872,0.7033577716096988,1.733687835593923,1.5736887229120673,атмосфера
346,выпукло,наречие,0,1,1,0,0,0,0,0,0.16278799842225872,0.5175651526939292,1.5352536857367873,0.8882842268702261,форма
347,выпуклость,существительное,0,1,1,0,0,0,0,0,1.139515988955811,1.7915716824020629,2.6005317533908845,1.8094678695504605,форма
348,выпуклый,прилагательное,0,1,1,0,0,0,0,0,2.279031977911622,5.865738397197865,11.498736789089815,9.776609731540821,форма
358,высокий,прилагательное,0,0,1,0,1,0,0,0,453.038999609146,525.7532988275742,543.1978193799731,532.663474907909,размер
362,высоченный,прилагательное,0,0,1,0,1,0,0,0,0.0,0.07962540810675835,1.1906048991428146,4.260474347396085,размер
368,вытянутый,прилагательное,1,0,1,0,0,0,0,0,5.209215949512279,5.759571186388855,10.27680018207482,13.083001020446662,размер
370,вяжущий,причастие,0,1,0,1,0,0,0,0,0.8139399921112936,0.5042942513428029,0.5535268390751682,1.2117951490019752,вкусный
371,вязкий,прилагательное,0,1,0,1,0,0,0,0,5.372003947934537,1.4465282472727767,3.383824450195368,5.4009874288097075,вещество
372,вязко,наречие,0,1,0,1,0,0,0,0,1.6278799842225873,0.1592508162135167,0.26109756560149444,0.2851282703534059,вещество
373,вязкость,существительное,0,1,0,1,0,0,0,0,2.279031977911622,0.29195982972478063,0.4490878128345704,3.980829313011013,вещество
377,габаритный,прилагательное,0,1,1,0,0,0,0,0,0.0,0.0,0.06266341574435866,0.9869824743002511,размер 
385,гам,существительное,1,0,0,0,1,0,0,0,14.16255586273651,7.232641236363884,5.2846147277742475,2.730651512230695,звучать
386,гамма,существительное,1,0,0,0,1,0,0,0,0.0,2.003906104020085,4.5430976414660025,9.332467618105708,музыка
388,гвалт,существительное,1,0,0,0,1,0,0,0,0.0,3.875103194528907,3.185390300338232,1.9520320047271635,звучать
397,гигантский,прилагательное,1,0,1,0,0,0,0,0,0.4883639952667762,10.311490349825206,26.736390717593032,43.69590743165946,размер 
