,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xviii,xix,pre1950,post1950,Семантическая когорта
629,жаркий,прилагательное,1,1,0,0,0,0,1,0,127.0,1592.0,2560.0,3592.0,атмосфера
630,жарко,наречие,1,1,0,0,0,0,0,0,26.0,1464.0,3079.0,3933.0,атмосфера
634,жарынь,существительное,1,1,0,0,0,0,0,0,0.0,11.0,19.0,14.0,атмосфера
636,жгучесть,существительное,0,1,0,1,0,1,0,горячий,0.0,23.0,34.0,20.0,осязание
637,жгучий,прилагательное,0,1,0,1,0,1,0,горячий,1.0,987.0,1556.0,1520.0,осязание
639,желтенький,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,1.0,6.0,цвет
640,желтехонький,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,цвет
643,желто-лимонный,прилагательное,1,0,1,0,0,0,0,0,0.0,2.0,1.0,4.0,цвет
645,желтовато-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,9.0,4.0,10.0,цвет
646,жемчужно-белый,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,1.0,5.0,цвет
647,жемчужно-серый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,4.0,42.0,цвет
652,жирненький,прилагательное,0,1,1,0,0,0,0,0,0.0,10.0,23.0,32.0,вкусный
660,жeсткий,прилагательное,0,1,0,1,1,1,1,0,0.0,0.0,0.0,3.0,осязание
673,загрубелый,прилагательное,1,1,0,0,0,0,0,0,4.0,55.0,33.0,19.0,осязание
677,закаменелый,прилагательное,1,1,0,0,0,0,1,0,3.0,3.0,10.0,24.0,осязание
678,закиснуть,глагол,1,0,0,1,0,0,1,0,3.0,19.0,52.0,100.0,вкусный
680,закругление,существительное,1,0,1,0,0,0,0,0,0.0,19.0,71.0,81.0,форма
682,закруглить,глагол,1,0,1,0,0,0,0,0,0.0,121.0,162.0,353.0,форма
685,заливаться,глагол,1,0,0,0,1,0,1,0,6.0,987.0,958.0,1053.0,звучать
701,замутнившийся,причастие,1,0,1,0,0,0,1,0,0.0,0.0,0.0,1.0,свет
706,запах,существительное,1,0,0,0,0,1,0,0,171.0,3688.0,8221.0,19104.0,запах
709,запашисто,наречие,1,0,0,0,0,1,0,0,0.0,0.0,0.0,2.0,запах
710,запашистый,прилагательное,1,0,0,0,0,1,0,0,0.0,2.0,9.0,18.0,запах
711,запашок,существительное,1,0,0,0,0,1,0,0,0.0,9.0,18.0,106.0,вонь
721,засолить,глагол,1,0,0,1,0,0,0,0,0.0,1.0,47.0,159.0,вкусный
727,застылый,причастие,1,1,0,0,0,0,0,0,2.0,391.0,1187.0,2457.0,температура
728,засуха,существительное,1,1,0,0,0,0,0,0,51.0,405.0,512.0,1032.0,атмосфера
729,засушливый,прилагательное,1,1,0,0,0,0,0,0,0.0,9.0,79.0,476.0,атмосфера
730,засыреть,глагол,1,1,0,0,0,0,0,0,0.0,1.0,3.0,2.0,атмосфера
733,затверделый,прилагательное,1,1,0,0,0,0,0,0,19.0,26.0,10.0,11.0,осязание
734,затвердеть,глагол,1,1,0,0,0,0,0,0,23.0,36.0,127.0,407.0,осязание
742,затхло,наречие,0,0,0,1,0,1,0,0,0.0,1.0,17.0,16.0,запах
743,затхлый,прилагательное,1,0,0,1,0,1,0,0,4.0,152.0,288.0,419.0,запах
748,зачерствелый,прилагательное,1,1,0,0,0,0,1,0,0.0,32.0,15.0,16.0,вкусный
749,зачерстветь,глагол,1,1,0,0,0,0,1,0,0.0,48.0,29.0,73.0,вкусный
753,звенеть,глагол,1,0,0,0,1,0,0,0,6.0,871.0,2752.0,2929.0,звучать
755,звенящий,причастие,1,0,0,0,1,0,0,0,4.0,130.0,571.0,726.0,звучать
756,звон,существительное,1,0,0,0,1,0,0,0,122.0,2119.0,4543.0,4438.0,звучать
757,звонить,глагол,1,0,0,0,1,0,0,0,14.0,1073.0,4499.0,21289.0,звучать
758,звонкий,прилагательное,1,0,0,0,1,0,0,0,15.0,1313.0,2260.0,2203.0,звучать
759,звонко,наречие,1,0,0,0,1,0,0,0,3.0,599.0,1551.0,1298.0,звучать
760,звонкость,существительное,1,0,0,0,1,0,0,0,0.0,9.0,36.0,77.0,звучать
761,звонок,существительное,1,0,0,0,1,0,0,0,4.0,1849.0,4190.0,13588.0,звучать
763,звук,существительное,1,0,0,0,1,0,0,0,255.0,9907.0,14456.0,22377.0,звучать
764,звучание,существительное,0,0,0,0,1,1,0,аромат,1.0,36.0,357.0,2126.0,звучать
765,звучок,существительное,1,0,0,0,1,0,0,0,0.0,0.0,3.0,13.0,звучать
766,звяга,существительное,1,0,0,0,1,0,0,0,0.0,0.0,0.0,3.0,звучать
768,здоровенный,прилагательное,1,0,1,0,0,0,0,0,0.0,373.0,562.0,1874.0,размер 
771,зелененький,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,0.0,1.0,цвет
772,зеленехонький,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,0.0,1.0,цвет
775,зеленовато-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,19.0,39.0,38.0,цвет
776,зеленоватый,прилагательное,1,0,1,0,0,0,0,0,30.0,373.0,1109.0,1399.0,цвет
780,зелeный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,цвет
781,землисто-серый,прилагательное,1,0,1,0,0,0,0,0,0.0,2.0,12.0,18.0,цвет
783,землистый,прилагательное,1,0,1,0,0,0,0,0,0.0,82.0,252.0,227.0,цвет
