,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,pre1950,Семантическая когорта
788,златой,прилагательное,1,0,1,0,0,0,0,0,1.4099268542480698,цвет
789,зловоние,существительное,1,0,0,0,0,1,0,0,2.3812097982856293,вонь
790,зловонно,наречие,1,0,0,0,0,1,0,0,0.06266341574435866,вонь
791,зловонный,прилагательное,1,0,0,0,0,1,0,0,2.851185416368319,вонь
793,знобкий,прилагательное,1,1,0,0,0,0,0,0,0.21932195510525532,температура
794,знобко,наречие,1,1,0,0,0,0,0,0,0.06266341574435866,температура
795,зной,существительное,1,1,0,0,0,0,0,0,13.190649014187498,атмосфера
796,знойкий,прилагательное,1,1,0,0,0,0,0,0,0.06266341574435866,атмосфера
797,знойно,наречие,1,1,0,0,0,0,0,0,0.8564000151729017,атмосфера
798,знойный,существительное,1,1,0,0,0,0,1,0,8.41778551499218,атмосфера
799,золотенький,прилагательное,1,0,1,0,0,0,0,0,0.19843414985713578,цвет
800,золотисто-красный,прилагательное,1,0,1,0,0,0,0,0,0.15665853936089666,цвет
801,золотистый,прилагательное,1,0,1,0,0,0,0,0,14.349922205458133,цвет
820,зябко,наречие,1,1,0,0,0,0,0,0,2.548312240270586,температура
826,изгиб,существительное,0,1,1,0,0,0,0,гибкий,6.412556211172703,форма
827,изгибать,глагол,0,1,1,0,0,0,0,гибкий,0.751960988932304,форма
828,изгибаться,глагол,0,1,1,0,0,0,0,гибкий,3.8015805551577593,форма
858,изумрудный,прилагательное,1,0,1,0,0,0,1,0,5.921692787841894,цвет
865,индиго,прилагательное,1,0,1,0,0,0,1,0,0.2715414682255542,цвет
866,индиговый,прилагательное,1,0,1,0,0,0,1,0,0.06266341574435866,цвет
874,искривить,глагол,1,0,1,0,0,0,0,0,3.718029334165281,форма
875,искривиться,глагол,1,0,1,0,0,0,0,0,1.0026146519097385,форма
876,искривление,существительное,1,0,1,0,0,0,0,0,1.0548341650300375,форма
895,иссиня-белый,прилагательное,1,0,1,0,0,0,0,0,0.1357707341127771,цвет
909,исчерна-синий,прилагательное,1,0,1,0,0,0,0,0,0.06266341574435866,цвет
913,какофония,существительное,1,0,0,0,1,0,0,0,0.8041805020526028,музыка
917,камертон,существительное,1,0,0,0,1,0,0,0,1.169717093894695,музыка
919,канареечный,прилагательное,1,0,1,0,0,0,1,0,0.8041805020526028,цвет
921,караковый,прилагательное,1,0,1,0,0,0,0,0,0.7624048915563637,цвет
923,карий,прилагательное,1,0,1,0,0,0,0,0,7.352507447338083,цвет
925,кармазинный,прилагательное,1,0,1,0,0,0,0,0,0.1357707341127771,цвет
927,карминный,прилагательное,1,0,1,0,0,0,0,0,0.1357707341127771,цвет
929,карминовый,прилагательное,1,0,1,0,0,0,0,0,0.12532683148871732,цвет
940,каштановый,прилагательное,1,0,1,0,0,0,0,0,8.344678196623763,цвет
941,квадрат,существительное,1,0,1,0,0,0,0,0,11.958268504548444,форма
942,квадратный,прилагательное,1,0,1,0,0,0,0,0,16.752019808991882,форма
944,квас,существительное,0,0,0,1,0,1,1,0,9.994814811225206,вкусный
947,квашеный,прилагательное,1,0,0,1,0,0,0,0,0.5326390338270486,вкусный
950,киноварный,прилагательное,1,0,1,0,0,0,1,0,0.12532683148871732,цвет
951,кипенный,прилагательное,1,0,1,0,0,0,1,0,0.07310731836841844,цвет
954,кирпично-красный,прилагательное,1,0,1,0,0,0,1,0,0.375980494466152,цвет
956,кисленький,прилагательное,1,0,0,1,0,0,0,0,1.0652780676540972,вкусный
958,кислинка,существительное,1,0,0,1,0,0,0,0,0.07310731836841844,вкусный
959,кисло,наречие,1,0,0,1,0,0,0,0,2.3812097982856293,вкусный
960,кисловато,наречие,1,0,0,1,0,0,0,0,0.093995123616538,вкусный
961,кислота,существительное,1,0,0,1,0,0,1,0,17.796410071397858,вкусный
962,кислотность,существительное,1,0,0,1,0,0,0,0,0.43864391021051063,вкусный
963,кислый,прилагательное,1,0,0,1,0,0,1,0,13.879946587375445,вкусный
964,кислятина,существительное,1,0,0,1,0,0,0,0,0.5013073259548693,вкусный
969,колкий,прилагательное,1,1,0,0,0,0,1,0,1.9007902775788796,осязание
970,колко,наречие,1,1,0,0,0,0,1,0,0.41775610496239113,осязание
973,колоритный,прилагательное,0,0,1,1,0,1,0,0,1.127941483398456,яркость
977,колючий,прилагательное,1,1,0,0,0,0,0,0,16.48047834076633,осязание
978,колющий,прилагательное,1,1,0,0,0,0,0,0,1.169717093894695,осязание
992,коралловый,прилагательное,1,0,1,0,0,0,1,0,2.31854638254127,цвет
994,коричневатый,прилагательное,1,0,1,0,0,0,0,0,0.38642439709021176,цвет
997,коричнево-серый,прилагательное,1,0,1,0,0,0,0,0,0.12532683148871732,цвет
998,коричневый,прилагательное,1,0,1,0,0,0,0,0,23.665883346119454,цвет
1001,коротенек,наречие,0,0,1,0,1,0,0,0,0.19843414985713578,размер
1003,коротенький,прилагательное,0,0,1,0,1,0,0,0,11.968712407172504,размер
1005,короткий,прилагательное,0,0,1,0,1,0,0,0,118.20408989910855,размер
1006,коротко,наречие,0,0,1,0,1,0,0,0,25.211580934480303,размер
1008,коротковатый,прилагательное,0,0,1,0,1,0,0,0,0.14621463673683688,размер
1011,корявый,прилагательное,1,0,1,0,0,0,0,0,8.470005028112478,форма
1013,красненький,прилагательное,1,0,1,0,0,0,0,0,2.8302976111201996,цвет
1015,красно-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.32376098134585307,цвет
1016,красно-оранжевый,прилагательное,1,0,1,0,0,0,0,0,0.11488292886465755,цвет
1017,красно-фиолетовый,прилагательное,1,0,1,0,0,0,0,0,0.093995123616538,цвет
1019,красновато-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.093995123616538,цвет
1022,красновато-серый,прилагательное,1,0,1,0,0,0,0,0,0.08355122099247822,цвет
