,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,post1950,Семантическая когорта
140,бледно-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.054832359683347286,цвет
141,бледно-розовый,прилагательное,1,0,1,0,0,0,0,0,1.0198818901102598,цвет
142,бледно-синий,прилагательное,1,0,1,0,0,0,0,0,0.21932943873338914,цвет
147,блекло-голубой,прилагательное,1,0,1,0,0,0,0,0,0.09321501146169038,цвет
151,блекло-синий,прилагательное,1,0,1,0,0,0,0,0,0.032899415810008374,цвет
154,блеск,существительное,1,0,1,0,0,0,0,0,31.495707402114686,яркость
155,блестеть,глагол,1,0,1,0,0,0,0,0,22.048091828673943,яркость
158,блестящий,прилагательное,1,0,1,0,0,0,0,0,47.764468520163824,яркость
159,блик,существительное,1,0,1,0,0,0,0,0,5.691598935131449,яркость
172,большой,прилагательное,1,0,1,0,0,0,0,0,1301.5831379834563,размер 
173,большой-большой,прилагательное,1,0,1,0,0,0,0,0,0.2851282703534059,размер 
174,большой-пребольшой,прилагательное,1,0,1,0,0,0,0,0,0.14256413517670294,размер 
175,большущий,прилагательное,1,0,1,0,0,0,0,0,2.4126238260672808,размер 
177,бордовый,прилагательное,1,0,1,0,0,0,0,0,2.8841821193440675,цвет
183,броский,прилагательное,1,0,1,0,0,0,0,0,2.43455676994062,яркость
184,броско,наречие,1,0,1,0,0,0,0,0,0.5318738889284687,яркость
185,броскость,существительное,1,0,1,0,0,0,0,0,0.18643002292338076,яркость
195,бурдон,существительное,1,0,0,0,1,0,0,0,0.14256413517670294,музыка
198,буро-красный,прилагательное,1,0,1,0,0,0,0,0,0.17546355098671132,цвет
199,буро-серый,прилагательное,1,0,1,0,0,0,0,0,0.054832359683347286,цвет
202,бурый,прилагательное,1,0,1,0,0,0,0,0,10.862290453271099,цвет
205,васильковый,прилагательное,1,0,1,0,0,0,1,0,1.2008286770653056,цвет
209,великанский,прилагательное,1,0,1,0,0,0,0,0,0.4551085853717825,размер 
212,великоватый,прилагательное,1,0,1,0,0,0,0,0,1.2501778007803181,размер 
227,веять,глагол,1,0,0,0,0,1,1,0,7.649114175826948,запах
256,вкус,существительное,1,0,0,1,0,0,1,0,80.37327282385047,вкусный
258,вкусить,глагол,1,0,0,1,0,0,0,0,3.3721901205258584,вкусный
260,вкусненький,прилагательное,1,0,0,1,0,0,0,0,1.135029845445289,вкусный
261,вкусно,наречие,1,0,0,1,0,0,0,0,10.69231013825272,вкусный
262,вкуснота,существительное,1,0,0,1,0,0,0,0,0.23577914663839333,вкусный
264,вкуснотища,существительное,1,0,0,1,0,0,0,0,0.1535306071133724,вкусный
265,вкусный,прилагательное,1,0,0,1,0,0,0,0,28.06320168593714,вкусный
266,вкуснющий,прилагательное,1,0,0,1,0,0,0,0,0.049349123715012565,вкусный
267,вкуснятина,существительное,1,0,0,1,0,0,0,0,0.466075057308452,вкусный
268,вкусняшка,существительное,1,0,0,1,0,0,0,0,0.1151479553350293,вкусный
269,вкусовой,прилагательное,1,0,0,1,0,0,0,0,4.430454662414461,вкусный
270,вкушение,существительное,1,0,0,1,0,0,0,0,0.4551085853717825,вкусный
271,влага,существительное,1,1,0,0,0,0,0,0,17.34347536784275,осязание
272,влажность,существительное,1,1,0,0,0,0,0,0,7.692980063573625,атмосфера
273,влажный,прилагательное,1,1,0,0,0,0,0,0,25.305133993864775,атмосфера
279,возглас,существительное,1,0,0,0,1,0,0,0,9.409232921662396,голос
282,вокал,существительное,1,0,0,0,1,0,0,0,1.8533337572971385,голос
283,волглый,прилагательное,1,1,0,0,0,0,0,0,0.8224853952502094,атмосфера
286,вонища,существительное,1,0,0,0,0,1,0,0,0.31254445019507954,вонь
288,вонь,существительное,1,0,0,0,0,1,0,0,6.075425452914879,вонь
289,вонький,прилагательное,1,0,0,0,0,1,0,0,0.1480473711450377,вонь
291,вонючий,прилагательное,1,0,0,0,0,1,0,0,9.864341507034178,вонь
292,вонючка,существительное,1,0,0,0,0,1,0,0,1.4640240035453727,вонь
306,востренький,прилагательное,1,1,0,0,0,0,0,0,0.12063119130336405,осязание
307,вострый,прилагательное,1,1,0,0,0,0,0,0,1.7272193300254395,осязание
313,вскрик,существительное,1,0,0,0,1,0,0,0,2.6593694446423437,голос
314,вскрикивать,глагол,1,0,0,0,1,0,0,0,4.265957583364419,голос
316,вскрикнуть,глагол,1,0,0,0,1,0,0,0,10.950022228764453,голос
319,всплеск,существительное,1,0,0,0,1,0,0,0,9.513414405060756,звучать
321,втора,существительное,1,0,0,0,1,0,0,0,1.1788957331919667,музыка
333,выкрик,существительное,1,0,0,0,1,0,0,0,4.710099696799532,голос
334,выкрикивать,глагол,1,0,0,0,1,0,0,0,9.129587887277323,голос
337,выкрикнуть,глагол,1,0,0,0,1,0,0,0,8.849942852892253,голос
343,вымокнуть,глагол,1,1,0,0,0,0,0,0,1.5736887229120673,атмосфера
346,выпукло,наречие,0,1,1,0,0,0,0,0,0.8882842268702261,форма
347,выпуклость,существительное,0,1,1,0,0,0,0,0,1.8094678695504605,форма
348,выпуклый,прилагательное,0,1,1,0,0,0,0,0,9.776609731540821,форма
358,высокий,прилагательное,0,0,1,0,1,0,0,0,532.663474907909,размер
362,высоченный,прилагательное,0,0,1,0,1,0,0,0,4.260474347396085,размер
368,вытянутый,прилагательное,1,0,1,0,0,0,0,0,13.083001020446662,размер
370,вяжущий,причастие,0,1,0,1,0,0,0,0,1.2117951490019752,вкусный
371,вязкий,прилагательное,0,1,0,1,0,0,0,0,5.4009874288097075,вещество
372,вязко,наречие,0,1,0,1,0,0,0,0,0.2851282703534059,вещество
373,вязкость,существительное,0,1,0,1,0,0,0,0,3.980829313011013,вещество
377,габаритный,прилагательное,0,1,1,0,0,0,0,0,0.9869824743002511,размер 
385,гам,существительное,1,0,0,0,1,0,0,0,2.730651512230695,звучать
386,гамма,существительное,1,0,0,0,1,0,0,0,9.332467618105708,музыка
388,гвалт,существительное,1,0,0,0,1,0,0,0,1.9520320047271635,звучать
397,гигантский,прилагательное,1,0,1,0,0,0,0,0,43.69590743165946,размер 
401,гладенький,прилагательное,1,1,1,0,0,0,0,0,0.6908877320101758,осязание
402,гладкий,прилагательное,1,1,1,0,0,0,1,0,23.161188730245897,осязание
403,гладко,наречие,1,1,1,0,0,0,1,0,8.921224920480604,осязание
409,глас,существительное,1,0,0,0,1,0,0,0,5.1761747541079846,звучать
417,глиссандо,существительное,1,0,0,0,1,0,0,0,0.16449707905004188,музыка
425,глубина,существительное,0,0,1,1,1,0,0,0,125.25904246063857,размер
427,глубокий-глубокий,прилагательное,0,0,1,1,1,0,0,0,0.08224853952502094,размер
429,глубоко,наречие,0,0,1,1,1,0,0,0,61.82896877894241,размер
430,глубоко-глубоко,наречие,0,0,1,1,1,0,0,0,0.31802768616341426,размер
436,глубоченный,прилагательное,0,0,1,1,1,0,0,0,0.0767653035566862,размер
455,гнедой,прилагательное,1,0,1,0,0,0,0,0,1.7052863861521008,цвет
456,гнилостный,прилагательное,1,0,0,0,0,1,0,0,0.7292703837885189,вонь
461,голос,существительное,1,0,0,0,1,0,0,0,417.537452516753,голос
462,голубенький,прилагательное,1,0,1,0,0,0,0,0,1.4201581157986949,цвет
463,голубовато-серый,прилагательное,1,0,1,0,0,0,0,0,0.29061150632174065,цвет
465,голубоватый,прилагательное,1,0,1,0,0,0,0,0,5.653216283353105,цвет
466,голубой,прилагательное,1,0,1,0,0,0,0,0,74.24301501125223,цвет
468,гомон,существительное,1,0,0,0,1,0,0,0,2.873215647407398,звучать
470,горечь,существительное,1,0,0,1,0,0,1,0,19.788998609720036,вкусный
475,горчинка,существительное,1,0,0,1,0,0,0,0,0.4057594616567699,вкусный
476,горчить,глагол,1,0,0,1,0,0,0,0,0.8334518671868788,вкусный
477,горький,прилагательное,0,0,0,1,0,1,1,0,79.53982095666359,вкусный
480,горько,наречие,0,0,0,1,0,1,1,0,18.357874021984674,вкусный
