,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xviii,Семантическая когорта
2423,треугольник,существительное,1,0,1,0,0,0,0,0,12.371887880091663,форма
2425,треугольный,прилагательное,1,0,1,0,0,0,0,0,6.674307935312607,форма
2430,трубить,глагол,1,0,0,0,1,0,0,0,3.2557599684451746,музыка
2440,тугой,прилагательное,0,1,0,0,1,1,0,0,6.185943940045831,вещество
2450,тупой,прилагательное,1,1,0,0,0,0,1,0,11.720735886402627,осязание
2462,тусклый,прилагательное,1,0,1,0,0,0,0,0,2.7673959731783984,свет
2507,узенький,прилагательное,1,0,1,0,0,0,0,0,4.069699960556467,форма
2511,узкий,прилагательное,1,0,1,0,0,0,0,0,32.069235689184964,форма
2514,узко,наречие,1,0,1,0,0,0,0,0,1.9534559810671048,форма
2577,фимиам,существительное,1,0,0,0,0,1,0,0,4.883639952667761,запах
2578,фиолетовый,прилагательное,1,0,1,0,0,0,0,0,4.395275957400985,цвет
2589,форма,существительное,1,0,1,0,0,0,0,0,26.53444374282817,форма
2599,хладный,прилагательное,1,1,0,0,0,0,0,0,10.418431899024558,температура
2608,холод,существительное,1,1,0,0,0,0,0,0,14.16255586273651,температура
2619,холодно,наречие,1,1,0,0,0,0,0,0,5.04642795109002,температура
2621,холодный,прилагательное,1,1,0,0,0,0,0,0,61.04549940834701,температура
2627,хрупкий,прилагательное,0,1,1,0,1,0,0,0,0.8139399921112936,осязание
2652,цвет,существительное,1,0,1,0,0,0,0,0,198.60135807515564,цвет
2657,цветной,прилагательное,1,0,1,0,0,0,0,0,11.557947887980369,цвет
2664,червонный,прилагательное,1,0,1,0,0,0,0,0,27.185595736517207,цвет
2672,черноватый,прилагательное,1,0,1,0,0,0,0,0,12.86025187535844,цвет
2709,шаровидный,прилагательное,1,0,1,0,0,0,0,0,1.3023039873780697,форма
2712,шарообразный,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,форма
2727,шероховатый,прилагательное,1,1,0,0,0,0,0,0,6.023155941623572,осязание
2738,широкий,прилагательное,1,0,1,0,0,0,0,0,56.32464745410152,размер
2741,широко,наречие,1,0,1,0,0,0,0,0,5.04642795109002,размер
2762,шум,существительное,1,0,0,0,1,0,0,0,61.04549940834701,звучать
2763,шуметь,глагол,1,0,0,0,1,0,0,0,21.65080379016041,звучать
2772,щупать,глагол,1,1,0,0,0,0,0,0,1.790667982644846,осязание
2784,эхо,существительное,1,0,0,0,1,0,0,0,6.511519936890349,звучать
2794,яркий,прилагательное,0,0,1,1,1,1,0,0,5.697579944779055,яркость
